Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Tyrese Maxey,25,PHI,PG,45,45,1761,22.9,.599,.400,.273,0.9,11.1,5.9,30.1,2.5,2.1,9.1,29.2,4.7,1.9,6.6,.180,5.6,0.7,6.3,3.6,,maxeyty01
2,Amen Thompson,23,HOU,PG,46,46,1718,18.2,.570,.131,.340,8.4,14.3,11.4,20.7,1.9,1.5,13.4,20.5,3.4,2.2,5.5,.155,1.3,0.9,2.2,1.8,,thompam01
3,Scottie Barnes,24,TOR,PF,49,49,1690,19.4,.576,.208,.271,7.0,20.2,13.5,24.7,1.8,4.3,13.7,24.2,2.1,2.7,4.8,.136,1.8,2.0,3.8,2.4,,barnesc01
4,Mikal Bridges,29,NYK,SF,48,48,1661,16.8,.602,.442,.089,3.4,10.3,6.8,17.2,2.2,2.4,7.5,17.3,3.6,1.9,5.5,.158,2.3,1.4,3.7,2.4,,bridgmi01
5,DeMar DeRozan,36,SAC,PF,50,50,1654,17.7,.598,.159,.404,1.6,9.4,5.5,18.3,1.8,0.6,6.7,22.0,3.6,0.5,4.0,.116,0.7,-0.5,0.2,0.9,,derozde01
6,Toumani Camara,25,POR,PF,49,49,1654,10.4,.566,.667,.169,5.3,11.4,8.3,11.1,1.4,1.2,14.7,16.1,0.9,1.2,2.1,.061,-1.4,-0.4,-1.9,0.1,,camarto01
7,Trey Murphy III,25,NOP,SF,46,46,1645,18.4,.610,.515,.248,3.1,14.9,8.9,15.6,2.1,0.8,9.5,22.7,3.2,1.0,4.2,.121,2.8,-0.8,2.0,1.6,,murphtr02
8,Dyson Daniels,22,ATL,SG,48,48,1638,14.3,.520,.141,.167,7.0,14.1,10.5,24.8,2.6,1.2,15.3,16.3,1.2,1.9,3.1,.092,-1.4,1.3,-0.1,0.8,,daniedy01
9,Brandon Ingram,28,TOR,SF,48,48,1636,16.5,.569,.287,.268,2.8,16.7,9.6,17.1,1.2,2.2,11.8,27.3,0.7,1.9,2.7,.078,1.0,-0.5,0.5,1.0,,ingrabr01
10,Julius Randle,31,MIN,PF,49,49,1629,20.2,.598,.299,.407,5.4,17.0,11.3,24.6,1.7,0.6,12.2,26.8,3.7,2.1,5.8,.171,2.5,0.4,2.8,2.0,,randlju01
11,Kevin Durant,37,HOU,SF,44,44,1618,21.0,.635,.320,.341,1.5,14.8,8.1,19.5,0.9,2.3,12.8,27.1,4.5,1.8,6.3,.186,4.4,0.1,4.4,2.6,,duranke01
